song,artist,bpm,energy,valence,instrumentalness,danceability
Morning Energy 412,Active Beats,117,0.78,0.77,0.03,0.87
Night Reading 413,LoFi Study,69,0.19,0.44,0.97,0.51
Coding Flow 414,Tech Beats,105,0.65,0.69,0.11,0.76
Brain Power 415,Focus Lab,84,0.5,0.57,0.21,0.69
Deep Thought 416,Piano Study,54,0.21,0.39,1.0,0.39
Coding Flow 417,Tech Beats,107,0.75,0.62,0.13,0.73
Deep Thought 418,Piano Study,55,0.17,0.41,0.98,0.4
Calm Ocean 419,Relax Sound,60,0.16,0.47,1.0,0.38
Idea Spark 420,Creative Studio,98,0.66,0.74,0.11,0.81
Calm Ocean 421,Relax Sound,61,0.16,0.49,0.99,0.41
Coding Flow 422,Tech Beats,101,0.71,0.63,0.11,0.75
Creative Pulse 423,Beat Maker,99,0.62,0.71,0.3,0.82
Silent Focus 424,Study Lab,67,0.22,0.31,0.94,0.48
Deep Thought 425,Piano Study,54,0.14,0.43,0.96,0.42
Coding Flow 426,Tech Beats,110,0.65,0.66,0.13,0.76
Deep Thought 427,Piano Study,63,0.17,0.46,1.0,0.36
Calm Ocean 428,Relax Sound,58,0.16,0.47,0.97,0.44
Dreamscape 429,LoFi Beats,77,0.28,0.44,0.95,0.52
Deep Thought 430,Piano Study,62,0.17,0.39,1.0,0.41
Night Reading 431,LoFi Study,61,0.18,0.47,1.0,0.45
Night Reading 432,LoFi Study,70,0.17,0.4,0.98,0.46
Creative Pulse 433,Beat Maker,92,0.64,0.66,0.31,0.76
Coding Flow 434,Tech Beats,104,0.69,0.61,0.09,0.76
Dreamscape 435,LoFi Beats,77,0.28,0.41,0.95,0.5
Brain Power 436,Focus Lab,85,0.54,0.57,0.22,0.68
Calm Ocean 437,Relax Sound,58,0.18,0.46,0.99,0.38
Creative Pulse 438,Beat Maker,92,0.61,0.74,0.33,0.77
Calm Ocean 439,Relax Sound,62,0.19,0.48,0.99,0.41
Night Reading 440,LoFi Study,61,0.2,0.43,0.93,0.51
Idea Spark 441,Creative Studio,96,0.64,0.74,0.15,0.79
Brain Power 442,Focus Lab,80,0.57,0.59,0.24,0.67
Calm Ocean 443,Relax Sound,58,0.2,0.52,0.98,0.36
Coding Flow 444,Tech Beats,100,0.68,0.61,0.08,0.79
Calm Ocean 445,Relax Sound,58,0.13,0.48,0.99,0.44
Deep Thought 446,Piano Study,61,0.14,0.44,1.0,0.35
Night Reading 447,LoFi Study,60,0.21,0.49,0.95,0.49
Calm Ocean 448,Relax Sound,61,0.13,0.52,1.0,0.41
Brain Power 449,Focus Lab,84,0.55,0.6,0.17,0.68
Coding Flow 450,Tech Beats,110,0.75,0.61,0.08,0.8
Coding Flow 451,Tech Beats,110,0.65,0.6,0.14,0.71
Brain Power 452,Focus Lab,85,0.51,0.61,0.23,0.63
Calm Ocean 453,Relax Sound,63,0.19,0.52,1.0,0.44
Calm Ocean 454,Relax Sound,58,0.17,0.53,0.99,0.35
Coding Flow 455,Tech Beats,106,0.74,0.67,0.1,0.73
Silent Focus 456,Study Lab,66,0.22,0.35,0.96,0.53
Deep Thought 457,Piano Study,55,0.21,0.42,0.95,0.38
Morning Energy 458,Active Beats,124,0.78,0.76,0.04,0.83
Night Reading 459,LoFi Study,66,0.19,0.45,1.0,0.44
Dreamscape 460,LoFi Beats,77,0.29,0.4,0.9,0.53
Dreamscape 461,LoFi Beats,72,0.2,0.38,0.99,0.54
Creative Pulse 462,Beat Maker,96,0.58,0.68,0.34,0.83
Morning Energy 463,Active Beats,122,0.78,0.73,0.06,0.89
Morning Energy 464,Active Beats,115,0.78,0.77,0.05,0.83
Coding Flow 465,Tech Beats,104,0.67,0.66,0.08,0.73
Creative Pulse 466,Beat Maker,90,0.64,0.7,0.33,0.76
Night Reading 467,LoFi Study,66,0.21,0.47,0.97,0.52
Dreamscape 468,LoFi Beats,67,0.23,0.39,0.97,0.58
Deep Thought 469,Piano Study,62,0.16,0.45,1.0,0.41
Morning Energy 470,Active Beats,124,0.77,0.79,0.08,0.88
Dreamscape 471,LoFi Beats,73,0.24,0.4,0.92,0.56
Calm Ocean 472,Relax Sound,60,0.15,0.53,0.99,0.39
Silent Focus 473,Study Lab,68,0.25,0.31,0.99,0.53
Dreamscape 474,LoFi Beats,74,0.25,0.44,0.9,0.59
Brain Power 475,Focus Lab,89,0.53,0.64,0.2,0.69
Silent Focus 476,Study Lab,63,0.24,0.34,1.0,0.51
Night Reading 477,LoFi Study,60,0.18,0.45,0.98,0.48
Morning Energy 478,Active Beats,121,0.77,0.71,0.02,0.89
Creative Pulse 479,Beat Maker,92,0.57,0.68,0.28,0.83
Night Reading 480,LoFi Study,68,0.18,0.43,1.0,0.47
Brain Power 481,Focus Lab,87,0.55,0.6,0.21,0.68
Deep Thought 482,Piano Study,62,0.14,0.47,1.0,0.37
Night Reading 483,LoFi Study,61,0.26,0.47,0.94,0.52
Idea Spark 484,Creative Studio,98,0.68,0.76,0.15,0.8
Coding Flow 485,Tech Beats,106,0.69,0.63,0.08,0.8
Coding Flow 486,Tech Beats,110,0.72,0.61,0.12,0.72
Morning Energy 487,Active Beats,123,0.79,0.8,0.02,0.85
Calm Ocean 488,Relax Sound,62,0.12,0.45,0.96,0.4
Night Reading 489,LoFi Study,67,0.25,0.43,0.94,0.47
Brain Power 490,Focus Lab,90,0.52,0.6,0.22,0.67
Brain Power 491,Focus Lab,88,0.56,0.64,0.19,0.61
Calm Ocean 492,Relax Sound,65,0.17,0.51,0.97,0.37
Creative Pulse 493,Beat Maker,98,0.58,0.74,0.27,0.81
Coding Flow 494,Tech Beats,102,0.66,0.65,0.13,0.77
Coding Flow 495,Tech Beats,105,0.67,0.65,0.14,0.75
Calm Ocean 496,Relax Sound,61,0.1,0.53,1.0,0.36
Idea Spark 497,Creative Studio,95,0.7,0.7,0.18,0.81
Creative Pulse 498,Beat Maker,92,0.62,0.74,0.32,0.76
Morning Energy 499,Active Beats,116,0.79,0.77,0.1,0.89
Dreamscape 500,LoFi Beats,69,0.26,0.36,0.99,0.55
